enumeration_category,enumeration_name,value
Recommended Curve,BRAINPOOLP224R1,0000003B
Recommended Curve,BRAINPOOLP224T1,0000003C
Recommended Curve,BRAINPOOLP256R1,0000003D
Recommended Curve,BRAINPOOLP256T1,0000003E
Recommended Curve,BRAINPOOLP320R1,0000003F
Recommended Curve,BRAINPOOLP320T1,00000040
Recommended Curve,BRAINPOOLP384R1,00000041
Recommended Curve,BRAINPOOLP384T1,00000042
Recommended Curve,BRAINPOOLP512R1,00000043
Recommended Curve,BRAINPOOLP512T1,00000044
Recommended Curve,Extensions,8XXXXXXX
Certificate Type,X.509,00000001
Certificate Type,PGP,00000002 (deprecated)
Certificate Type,Extensions,8XXXXXXX
Digital Signature Algorithm,MD2 with RSA Encryption(PKCS#1 v1.5),00000001
Digital Signature Algorithm,MD5 with RSA Encryption (PKCS#1 v1.5),00000002
Digital Signature Algorithm,SHA-1 with RSA Encryption (PKCS#1 v1.5),00000003
Digital Signature Algorithm,SHA-224 with RSA Encryption (PKCS#1 v1.5),00000004
Digital Signature Algorithm,SHA-256 with RSA Encryption (PKCS#1 v1.5),00000005
Digital Signature Algorithm,SHA-384 with RSA Encryption (PKCS#1 v1.5),00000006
Digital Signature Algorithm,SHA-512 with RSA Encryption (PKCS#1 v1.5),00000007
Digital Signature Algorithm,RSASSA-PSS(PKCS#1 v2.1),00000008
Digital Signature Algorithm,DSA with SHA-1,00000009
Digital Signature Algorithm,DSA with SHA224,0000000A
Digital Signature Algorithm,DSA with SHA256,0000000B
Digital Signature Algorithm,ECDSA with SHA-1,0000000C
Digital Signature Algorithm,ECDSA with SHA224,0000000D
Digital Signature Algorithm,ECDSA with SHA256,0000000E
Digital Signature Algorithm,ECDSA with SHA384,0000000F
Digital Signature Algorithm,ECDSA with SHA512,00000010
Digital Signature Algorithm,Extensions,8XXXXXXX
Split Key Method,XOR,00000001
Split Key Method,Polynomial Sharing GF (216),00000002
Split Key Method,Polynomial Sharing Prime Field,00000003
Split Key Method,Polynomial Sharing GF (28),00000004
Split Key Method,Extensions,8XXXXXXX
Secret Data Type,Password,00000001
Secret Data Type,Seed,00000002
Secret Data Type,Extensions,8XXXXXXX
Opaque Data Type,Extensions,8XXXXXXX
Name Type,Uninterpreted Text String,00000001
Name Type,URI,00000002
Name Type,Extensions,8XXXXXXX
Object Type,Certificate,00000001
Object Type,Symmetric Key,00000002
Object Type,Public Key,00000003
Object Type,Private Key,00000004
Object Type,Split Key,00000005
Object Type,Template,00000006
Object Type,Secret Data,00000007
Object Type,Opaque Object,00000008
Object Type,PGP Key,00000009
Object Type,Extensions,8XXXXXXX
Cryptographic Algorithm,DES,00000001
Cryptographic Algorithm,3DES,00000002
Cryptographic Algorithm,AES,00000003
Cryptographic Algorithm,RSA,00000004
Cryptographic Algorithm,DSA,00000005
Cryptographic Algorithm,ECDSA,00000006
Cryptographic Algorithm,HMAC-SHA1,00000007
Cryptographic Algorithm,HMAC-SHA224,00000008
Cryptographic Algorithm,HMAC-SHA256,00000009
Cryptographic Algorithm,HMAC-SHA384,0000000A
Cryptographic Algorithm,HMAC-SHA512,0000000B
Cryptographic Algorithm,HMAC-MD5,0000000C
Cryptographic Algorithm,DH,0000000D
Cryptographic Algorithm,ECDH,0000000E
Cryptographic Algorithm,ECMQV,0000000F
Cryptographic Algorithm,Blowfish,00000010
Cryptographic Algorithm,Camellia,00000011
Cryptographic Algorithm,CAST5,00000012
Cryptographic Algorithm,IDEA,00000013
Cryptographic Algorithm,MARS,00000014
Cryptographic Algorithm,RC2,00000015
Cryptographic Algorithm,RC4,00000016
Cryptographic Algorithm,RC5,00000017
Cryptographic Algorithm,SKIPJACK,00000018
Cryptographic Algorithm,Twofish,00000019
Cryptographic Algorithm,EC,0000001A
Cryptographic Algorithm,Extensions,8XXXXXXX
Block Cipher Mode,CBC,00000001
Block Cipher Mode,ECB,00000002
Block Cipher Mode,PCBC,00000003
Block Cipher Mode,CFB,00000004
Block Cipher Mode,OFB,00000005
Block Cipher Mode,CTR,00000006
Block Cipher Mode,CMAC,00000007
Block Cipher Mode,CCM,00000008
Block Cipher Mode,GCM,00000009
Block Cipher Mode,CBC-MAC,0000000A
Block Cipher Mode,XTS,0000000B
Block Cipher Mode,AESKeyWrapPadding,0000000C
Block Cipher Mode,NISTKeyWrap,0000000D
Block Cipher Mode,X9.102 AESKW,0000000E
Block Cipher Mode,X9.102 TDKW,0000000F
Block Cipher Mode,X9.102 AKW1,00000010
Block Cipher Mode,X9.102 AKW2,00000011
Block Cipher Mode,Extensions,8XXXXXXX
Padding Method,None,00000001
Padding Method,OAEP,00000002
Padding Method,PKCS5,00000003
Padding Method,SSL3,00000004
Padding Method,Zeros,00000005
Padding Method,ANSI X9.23,00000006
Padding Method,ISO 10126,00000007
Padding Method,PKCS1 v1.5,00000008
Padding Method,X9.31,00000009
Padding Method,PSS,0000000A
Padding Method,Extensions,8XXXXXXX
Hashing Algorithm,MD2,00000001
Hashing Algorithm,MD4,00000002
Hashing Algorithm,MD5,00000003
Hashing Algorithm,SHA-1,00000004
Hashing Algorithm,SHA-224,00000005
Hashing Algorithm,SHA-256,00000006
Hashing Algorithm,SHA-384,00000007
Hashing Algorithm,SHA-512,00000008
Hashing Algorithm,RIPEMD-160,00000009
Hashing Algorithm,Tiger,0000000A
Hashing Algorithm,Whirlpool,0000000B
Hashing Algorithm,SHA-512/224,0000000C
Hashing Algorithm,SHA-512/256,0000000D
Hashing Algorithm,Extensions,8XXXXXXX
Key Role Type,BDK,00000001
Key Role Type,CVK,00000002
Key Role Type,DEK,00000003
Key Role Type,MKAC,00000004
Key Role Type,MKSMC,00000005
Key Role Type,MKSMI,00000006
Key Role Type,MKDAC,00000007
Key Role Type,MKDN,00000008
Key Role Type,MKCP,00000009
Key Role Type,MKOTH,0000000A
Key Role Type,KEK,0000000B
Key Role Type,MAC16609,0000000C
Key Role Type,MAC97971,0000000D
Key Role Type,MAC97972,0000000E
Key Role Type,MAC97973,0000000F
Key Role Type,MAC97974,00000010
Key Role Type,MAC97975,00000011
Key Role Type,ZPK,00000012
Key Role Type,PVKIBM,00000013
Key Role Type,PVKPVV,00000014
Key Role Type,PVKOTH,00000015
Key Role Type,Extensions,8XXXXXXX
State,Pre-Active,00000001
State,Active,00000002
State,Deactivated,00000003
State,Compromised,00000004
State,Destroyed,00000005
State,Destroyed Compromised,00000006
State,Extensions,8XXXXXXX
Revocation Reason Code,Unspecified,00000001
Revocation Reason Code,Key Compromise,00000002
Revocation Reason Code,CA Compromise,00000003
Revocation Reason Code,Affiliation Changed,00000004
Revocation Reason Code,Superseded,00000005
Revocation Reason Code,Cessation of Operation,00000006
Revocation Reason Code,Privilege Withdrawn,00000007
Revocation Reason Code,Extensions,8XXXXXXX
Link Type,Certificate Link,00000101
Link Type,Public Key Link,00000102
Link Type,Private Key Link,00000103
Link Type,Derivation Base Object Link,00000104
Link Type,Derived Key Link,00000105
Link Type,Replacement Object Link,00000106
Link Type,Replaced Object Link,00000107
Link Type,Parent Link,00000108
Link Type,Child Link,00000109
Link Type,Previous Link,0000010A
Link Type,Next Link,0000010B
Link Type,Extensions,8XXXXXXX
Derivation Method,PBKDF2,00000001
Derivation Method,HASH,00000002
Derivation Method,HMAC,00000003
Derivation Method,ENCRYPT,00000004
Derivation Method,NIST800-108-C,00000005
Derivation Method,NIST800-108-F,00000006
Derivation Method,NIST800-108-DPI,00000007
Derivation Method,Extensions,8XXXXXXX
Certificate Request Type,CRMF,00000001
Certificate Request Type,PKCS#10,00000002
Certificate Request Type,PEM,00000003
Certificate Request Type,PGP,00000004 (deprecated)
Certificate Request Type,Extensions,8XXXXXXX
Validity Indicator,Valid,00000001
Validity Indicator,Invalid,00000002
Validity Indicator,Unknown,00000003
Validity Indicator,Extensions,8XXXXXXX
Query Function,Query Operations,00000001
Query Function,Query Objects,00000002
Query Function,Query Server Information,00000003
Query Function,Query Application Namespaces,00000004
Query Function,Query Extension List,00000005
Query Function,Query Extension Map,00000006
Query Function,Query Attestation Types,00000007
Query Function,Extensions,8XXXXXXX
Cancellation Result,Canceled,00000001
Cancellation Result,Unable to Cancel,00000002
Cancellation Result,Completed,00000003
Cancellation Result,Failed,00000004
Cancellation Result,Unavailable,00000005
Cancellation Result,Extensions,8XXXXXXX
Put Function,New,00000001
Put Function,Replace,00000002
Put Function,Extensions,8XXXXXXX
Operation,Create,00000001
Operation,Create Key Pair,00000002
Operation,Register,00000003
Operation,Re-key,00000004
Operation,Derive Key,00000005
Operation,Certify,00000006
Operation,Re-certify,00000007
Operation,Locate,00000008
Operation,Check,00000009
Operation,Get,0000000A
Operation,Get Attributes,0000000B
Operation,Get Attribute List,0000000C
Operation,Add Attribute,0000000D
Operation,Modify Attribute,0000000E
Operation,Delete Attribute,0000000F
Operation,Obtain Lease,00000010
Operation,Get Usage Allocation,00000011
Operation,Activate,00000012
Operation,Revoke,00000013
Operation,Destroy,00000014
Operation,Archive,00000015
Operation,Recover,00000016
Operation,Validate,00000017
Operation,Query,00000018
Operation,Cancel,00000019
Operation,Poll,0000001A
Operation,Notify,0000001B
Operation,Put,0000001C
Operation,Re-key Key Pair,0000001D
Operation,Discover Versions,0000001E
Operation,Encrypt,0000001F
Operation,Decrypt,00000020
Operation,Sign,00000021
Operation,Signature Verify,00000022
Operation,MAC,00000023
Operation,MAC Verify,00000024
Operation,RNG Retrieve,00000025
Operation,RNG Seed,00000026
Operation,Hash,00000027
Operation,Create Split Key,00000028
Operation,Join Split Key,00000029
Operation,Extensions,8XXXXXXX
Result Status,Success,00000000
Result Status,Operation Failed,00000001
Result Status,Operation Pending,00000002
Result Status,Operation Undone,00000003
Result Status,Extensions,8XXXXXXX
Result Reason,Item Not Found,00000001
Result Reason,Response Too Large,00000002
Result Reason,Authentication Not Successful,00000003
Result Reason,Invalid Message,00000004
Result Reason,Operation Not Supported,00000005
Result Reason,Missing Data,00000006
Result Reason,Invalid Field,00000007
Result Reason,Feature Not Supported,00000008
Result Reason,Operation Canceled By Requester,00000009
Result Reason,Cryptographic Failure,0000000A
Result Reason,Illegal Operation,0000000B
Result Reason,Permission Denied,0000000C
Result Reason,Object archived,0000000D
Result Reason,Index Out of Bounds,0000000E
Result Reason,Application Namespace Not Supported,0000000F
Result Reason,Key Format Type Not Supported,00000010
Result Reason,Key Compression Type Not Supported,00000011
Result Reason,Encoding Option Error,00000012
Result Reason,Key Value Not Present,00000013
Result Reason,Attestation Required,00000014
Result Reason,Attestation Failed,00000015
Result Reason,General Failure,00000100
Result Reason,Extensions,8XXXXXXX
Batch Error Continuation Option,Continue,00000001
Batch Error Continuation Option,Stop,00000002
Batch Error Continuation Option,Undo,00000003
Batch Error Continuation Option,Extensions,8XXXXXXX
Usage Limits Unit,Byte,00000001
Usage Limits Unit,Object,00000002
Usage Limits Unit,Extensions,8XXXXXXX
Encoding Option,No Encoding,00000001
Encoding Option,TTLV Encoding,00000002
Encoding Option,Extensions,8XXXXXXX
Object Group Member,Group Member Fresh,00000001
Object Group Member,Group Member Default,00000002
Object Group Member,Extensions,8XXXXXXX
Alternative Name Type,Uninterpreted Text String,00000001
Alternative Name Type,URI,00000002
Alternative Name Type,Object Serial Number,00000003
Alternative Name Type,Email Address,00000004
Alternative Name Type,DNS Name,00000005
Alternative Name Type,X.500 Distinguished Name,00000006
Alternative Name Type,IP Address,00000007
Alternative Name Type,Extensions,8XXXXXXX
Key Value Location Type,Uninterpreted Text String,00000001
Key Value Location Type,URI,00000002
Key Value Location Type,Extensions,8XXXXXXX
Attestation Type,TPM Quote,00000001
Attestation Type,TCG Integrity Report,00000002
Attestation Type,SAML Assertion,00000003
Attestation Type,Extensions,8XXXXXXX
